pair_id,query_column_id,candidate_column_id,exact_rank,exact_similarity,jaccard,max_containment,query_unique_count,candidate_unique_count,query_cardinality_ratio,candidate_cardinality_ratio,query_numeric_ratio,candidate_numeric_ratio,query_date_like_ratio,candidate_date_like_ratio,query_avg_length,candidate_avg_length,rank_group
webtable_join_52844,csvData11781598.csv::Date,csvData50010.csv::Date,15447,-0.1702263355255127,0.0,0.0,12,12,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.666666666666667,rank_gt_1000
webtable_join_52214,csvData15169500.csv::Date,csvData50010.csv::Date,15203,-0.1722042262554168,0.0,0.0,6,12,0.8571428571428571,1.0,0.0,0.0,1.0,0.0,10.0,5.666666666666667,rank_gt_1000
webtable_join_16451,csvData2832935__3.csv::Date,csvData7028714.csv::Date,15155,-0.1338349729776382,0.0,0.0,24,10,0.96,1.0,0.0,0.0,0.0,0.0,11.76,5.6,rank_gt_1000
webtable_join_46731,csvData12564240.csv::Date,csvData27432053.csv::Date,14673,-0.1393541246652603,0.0,0.0,12,10,0.8571428571428571,1.0,0.0,0.0,1.0,0.0,10.0,5.8,rank_gt_1000
webtable_join_7704,csvData432880__5.csv::Date,csvData29586855.csv::Date,14649,-0.1189287155866622,0.0,0.0,37,11,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.727272727272728,rank_gt_1000
webtable_join_40945,csvData6863752.csv::Date,csvData2023494.csv::Date,14559,-0.0922208279371261,0.0,0.0,27,11,0.9,1.0,0.0,0.0,1.0,0.0,10.0,5.636363636363637,rank_gt_1000
webtable_join_50728,csvData15351132.csv::Date,csvData20965143.csv::Date,14389,-0.0892351120710372,0.0,0.0,11,6,1.0,0.8571428571428571,0.0,0.0,0.0,1.0,5.727272727272728,10.0,rank_gt_1000
webtable_join_28367,csvData432880__4.csv::Date,csvData29586855.csv::Date,14365,-0.1043664067983627,0.0,0.0,29,11,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.727272727272728,rank_gt_1000
webtable_join_14331,csvData13726780__2.csv::Date,csvData7028714.csv::Date,14201,-0.0906489938497543,0.0,0.0,25,10,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.6,rank_gt_1000
webtable_join_46677,csvData24712864.csv::Date,csvData20965143.csv::Date,14187,-0.0822516530752182,0.0,0.0,11,6,1.0,0.8571428571428571,0.0,0.0,0.0,1.0,5.727272727272728,10.0,rank_gt_1000
webtable_join_22232,csvData26761314__4.csv::Date,csvData50010.csv::Date,14180,-0.0973033159971237,0.0,0.0,24,12,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.666666666666667,rank_gt_1000
webtable_join_6352,csvData7470046__3.csv::Date,csvData29586855.csv::Date,14140,-0.1060681045055389,0.0,0.0,20,11,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.727272727272728,rank_gt_1000
webtable_join_6136,csvData7470046__2.csv::Date,csvData29586855.csv::Date,14135,-0.1014213860034942,0.0,0.0,17,11,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.727272727272728,rank_gt_1000
webtable_join_50432,csvData10289113.csv::Date,csvData27432053.csv::Date,14081,-0.1159094274044036,0.0,0.0,4,10,0.8,1.0,0.0,0.0,1.0,0.0,10.0,5.8,rank_gt_1000
webtable_join_30183,csvData11387111__3.csv::Date,csvData29586855.csv::Date,14062,-0.101543053984642,0.0,0.0,23,11,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.727272727272728,rank_gt_1000
webtable_join_29100,csvData17054209__2.csv::Date,csvData2023494.csv::Date,14047,-0.0832228809595108,0.0,0.0,29,11,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.636363636363637,rank_gt_1000
webtable_join_28364,csvData432880__4.csv::Date,csvData27432053.csv::Date,13973,-0.0843200832605362,0.0,0.0,29,10,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.8,rank_gt_1000
webtable_join_30187,csvData11387111__3.csv::Date,csvData50010.csv::Date,13953,-0.0959293320775032,0.0,0.0,23,12,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.666666666666667,rank_gt_1000
webtable_join_23543,csvData13588389__0.csv::Date,csvData29586855.csv::Date,13857,-0.0790451914072036,0.0,0.0,27,11,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.727272727272728,rank_gt_1000
webtable_join_6669,csvData26604328__1.csv::Date,csvData29586855.csv::Date,13807,-0.0914305746555328,0.0,0.0,43,11,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.727272727272728,rank_gt_1000
webtable_join_50434,csvData10289113.csv::Date,csvData2023494.csv::Date,13756,-0.0998645722866058,0.0,0.0,4,11,0.8,1.0,0.0,0.0,1.0,0.0,10.0,5.636363636363637,rank_gt_1000
webtable_join_23363,csvData1786628__8.csv::Date,csvData7028714.csv::Date,13700,-0.0837148278951644,0.0,0.0,26,10,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.6,rank_gt_1000
webtable_join_19438,csvData14780613__2.csv::Date,csvData50010.csv::Date,13663,-0.0532505810260772,0.0,0.0,30,12,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.666666666666667,rank_gt_1000
webtable_join_16449,csvData2832935__3.csv::Date,csvData29586855.csv::Date,13643,-0.0615148283541202,0.0,0.0,24,11,0.96,1.0,0.0,0.0,0.0,0.0,11.76,5.727272727272728,rank_gt_1000
webtable_join_30180,csvData11387111__3.csv::Date,csvData27432053.csv::Date,13553,-0.0781699866056442,0.0,0.0,23,10,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.8,rank_gt_1000
webtable_join_9559,csvData11387111__4.csv::Date,csvData29586855.csv::Date,13504,-0.0799506902694702,0.0,0.0,46,11,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.727272727272728,rank_gt_1000
webtable_join_22502,csvData19635852__2.csv::Date,csvData29586855.csv::Date,13479,-0.082432821393013,0.0,0.0,49,11,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.727272727272728,rank_gt_1000
webtable_join_33539,csvData917122__2.csv::Date,csvData2023494.csv::Date,13443,-0.0511539205908775,0.0,0.0,21,11,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.636363636363637,rank_gt_1000
webtable_join_22225,csvData26761314__4.csv::Date,csvData27432053.csv::Date,13389,-0.0591814368963241,0.0,0.0,24,10,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.8,rank_gt_1000
webtable_join_20206,csvData26761314__3.csv::Date,csvData29586855.csv::Date,13348,-0.0753818750381469,0.0,0.0,38,11,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.727272727272728,rank_gt_1000
webtable_join_13721,csvData22709338__1.csv::Date,csvData20965143.csv::Date,13339,-0.0801778584718704,0.0,0.0,18,6,0.8571428571428571,0.8571428571428571,0.0,0.0,0.0,1.0,11.571428571428571,10.0,rank_gt_1000
webtable_join_22228,csvData26761314__4.csv::Date,csvData29586855.csv::Date,13284,-0.0548179969191551,0.0,0.0,24,11,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.727272727272728,rank_gt_1000
webtable_join_23412,csvData11331104__2.csv::Date,csvData27432053.csv::Date,13132,-0.0639396086335182,0.0,0.0,31,10,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.8,rank_gt_1000
webtable_join_11325,csvData17093328__0.csv::Date,csvData29586855.csv::Date,13122,-0.0701029449701309,0.0,0.0,31,11,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.727272727272728,rank_gt_1000
webtable_join_9556,csvData11387111__4.csv::Date,csvData27432053.csv::Date,12976,-0.0617228485643863,0.0,0.0,46,10,1.0,1.0,0.0,0.0,1.0,0.0,10.0,5.8,rank_gt_1000
